elavskode,matrnr,esr_ejdnr
20151,19y,1510036783
20151,19o,1510038417
20151,19gd,1510036775
20151,19fa,1510038425
20151,19t,1510024882
20151,19gm,1510086888
20151,19z,1510036767
20151,19p,1510038395
20151,19ha,1510146929
20151,19gb,1510038409
20151,19gt,1510129498
20151,19s,1510036740
20151,19æ,1510036759
20151,19hb,1510146910
20151,19b,1510001564
20151,23bd,1510037097
20151,23at,1510025080
20151,23ak,1510025102
20151,23ax,1510025072
20151,7000an,0
20151,23as,1510037054
20151,23eh,1510025099
20151,23q,1510037119
20151,23ah,1510010253
20151,23dø,1510025110
20151,23dl,1510037046
20151,23ø,1510037003
20151,23aæ,1510037070
20151,23ay,1510025072
20151,23bb,1510017649
20151,23cg,1510037038
20151,23aa,1510017622
20151,23cx,1510017606
20151,23ba,1510017584
20151,23dæ,1510017665
20151,23ai,1510036961
20151,23r,1510017614
20151,23cf,1510017576
20151,23ct,1510025064
20151,23ag,1510017657
20151,23o,1510017630
20151,23n,1510036953
20151,23p,1510037011
20151,23x,1510017592
20151,23c,1510010180
20151,19bp,1510009603
20151,19bd,1510009581
20151,19fu,1510001602
20151,19fo,1510009530
20151,19br,1510009638
20151,19fp,1510009522
20151,19fm,1510009514
20151,19dc,1510009557
20151,19cz,1510009506
20151,19ap,1510036791
20151,19i,1510036813
20151,19fl,1510036848
20151,19h,1510036856
20151,19bx,1510009573
20151,19fq,1510036872
20151,19fr,1510036899
20151,19cy,1510009484
20151,19bq,1510036929
20151,19bm,1510036945
20151,19al,1510036880
20151,19ch,1510009468
20151,19fx,1510001610
20151,19ak,1510036902
20151,19fs,1510036937
20151,19bi,1510009492
20151,19cl,1510009425
20151,19hc,1510149928
20151,19gq,1510088724
20151,19bg,1510009476
20151,19co,1510036988
20151,19by,1510036996
20151,19ft,1510036910
20151,19cf,1510009409
20151,7000cp,0
20151,23ab,1510025242
20151,23ci,1510016545
20151,23db,1510025277
20151,23bh,1510037208
20151,23do,1510016537
20151,23ap,1510037194
20151,23ch,1510025250
20151,23cø,1510025226
20151,23bf,1510037186
20151,23cq,1510025234
20151,23bq,1510085997
20151,23bt,1510016529
20151,23cy,1510025218
20151,23be,1510037178
20151,23l,1510037100
20151,23cs,1510025196
20151,23bp,1510016510
20151,23af,1510037151
20151,23bs,1510016510
20151,23au,1510025161
20151,23bl,1510025188
20151,23t,1510037143
20151,23k,1510037089
20151,23am,1510025145
20151,23aø,1510037135
20151,23ae,1510025153
20151,23v,1510037062
20151,23al,1510025129
20151,23s,1510037127
20151,23m,1510025137
20151,7000cn,0
20151,19q,1510038387
20151,19gn,1510087507
20151,19r,1510036716
20151,19ø,1510036724
20151,19ev,1510036732
20151,18n,1510036694
20151,18k,1510009816
20151,18c,1510036694
20151,18cv,1510130178
20151,18cx,1510130186
20151,18cu,1510130151
20151,18ah,1510036686
20151,18cø,1510130224
20151,18p,1510036678
20151,18cz,1510130208
20151,18cæ,1510130216
20151,18f,1510036678
20151,18l,1510009808
20151,18db,1510130240
20151,18dd,1510130267
20151,18q,1510036651
20151,18dc,1510130259
20151,18x,1510009794
20151,18g,1510036651
20151,18dh,1510130305
20151,18df,1510130283
20151,18r,1510036643
20151,18dg,1510130291
20151,18h,1510036643
20151,7000ff,0
20151,7000fl,0
20151,18y,1510009786
20151,18z,1510009778
20151,18dl,1510130348
20151,18dk,1510130321
20151,18dy,1510149761
20151,18s,1510036635
20151,18dz,1510149760
20151,18i,1510036635
20151,18do,1510130372
20151,18dn,1510130364
20151,7000ea,0
20151,18æ,1510009751
20151,18cr,1510123325
20151,18cs,1510123333
20151,18bt,1510119204
20151,18bø,1510119190
20151,18dæ,1510009735
20151,18cq,1510119166
20151,18bs,1510119212
20151,18ch,1510119115
20151,18bæ,1510119220
20151,18cp,1510119131
20151,18u,1510036627
20151,18cg,1510119093
20151,18br,1510119255
20151,18bz,1510119247
